text,label
Do you offer student discounts or first-order offers?,retrieval
How do I create an account and view orders?,retrieval
Do you offer student discounts or first-order offers?,retrieval
How do I create an account and view orders?,retrieval
Where can I read the warranty details?,retrieval
Do you provide GST invoices?,retrieval
How do I initiate a size exchange?,retrieval
Where can I read the warranty details?,retrieval
What are your customer care hours?,retrieval
Do you have Cash on Delivery for Mumbai?,retrieval
Do you have Cash on Delivery for Delhi?,retrieval
What payment methods do you accept?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Where is the store locator?,retrieval
Where can I read the warranty details?,retrieval
Do you ship on public holidays?,retrieval
Do you have a return window?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
What’s your exchange policy during sale events?,retrieval
Do you provide GST invoices?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
Do you ship on public holidays?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
What’s the weight of Levitate 6?,retrieval
Explain the difference between Launch 10 and Divide 4.,retrieval
Do you provide GST invoices?,retrieval
What are your customer care hours?,retrieval
Are the insoles removable in Levitate 6?,retrieval
What is your defective product policy?,retrieval
How long does delivery to Delhi 400001 usually take?,retrieval
How do I contact support—what’s your email?,retrieval
What’s the difference between India Fit and Regular fit in Catamount 3?,retrieval
Do you ship on public holidays?,retrieval
Do you have Cash on Delivery for Delhi?,retrieval
Do you provide GST invoices?,retrieval
What is your no returns except size exchange?,retrieval
What’s the difference between India Fit and Regular fit in Hyperion Max?,retrieval
What are your shipping charges within India?,retrieval
How long does delivery to Delhi 302001 usually take?,retrieval
Do you offer international shipping from India?,retrieval
Do you provide GST invoices?,retrieval
What’s the weight of Hyperion Max?,retrieval
Do you have a return window?,retrieval
Is Adrenaline GTS 23 available in Navy Regular UK 6?,retrieval
What is your free shipping pan-India?,retrieval
Do you have a guide for pronation and shoe selection?,retrieval
Are the insoles removable in Divide 4?,retrieval
Do you ship on public holidays?,retrieval
What are your customer care hours?,retrieval
Do you provide GST invoices?,retrieval
Where is the store locator?,retrieval
Is Levitate 6 good for flat feet?,retrieval
How do I contact support—what’s your email?,retrieval
Where can I find the size guide for Levitate 6?,retrieval
What payment methods do you accept?,retrieval
Where can I find the privacy policy?,retrieval
What payment methods do you accept?,retrieval
Do you have Cash on Delivery for Pune?,retrieval
Where can I find the size guide for Catamount 3?,retrieval
Is Ghost 16 available in Teal India Fit UK 8?,retrieval
How do I initiate a size exchange?,retrieval
How do I create an account and view orders?,retrieval
Do you provide GST invoices?,retrieval
Where is the store locator?,retrieval
Is Hyperion Max good for flat feet?,retrieval
What payment methods do you accept?,retrieval
Do you have a return window?,retrieval
Where can I find the privacy policy?,retrieval
Is Adrenaline GTS 23 available in Blue India Fit UK 8?,retrieval
Do you provide GST invoices?,retrieval
How do I create an account and view orders?,retrieval
How do I create an account and view orders?,retrieval
Where is the store locator?,retrieval
Is Hyperion Max available in Black Narrow UK 6?,retrieval
What payment methods do you accept?,retrieval
How do I initiate a size exchange?,retrieval
What’s the weight of Launch 10?,retrieval
What’s the weight of Divide 4?,retrieval
What’s the weight of Hyperion Max?,retrieval
Explain the difference between Hyperion Max and Ghost 16.,retrieval
Where can I find the size guide for Cascadia 17?,retrieval
Explain the difference between Adrenaline GTS 23 and Catamount 3.,retrieval
Do you offer student discounts or first-order offers?,retrieval
Is Cascadia 17 good for flat feet?,retrieval
How do I initiate a size exchange?,retrieval
Is Levitate 6 available in Blue Narrow UK 6?,retrieval
How do I create an account and view orders?,retrieval
How can I subscribe/unsubscribe to your newsletter?,retrieval
What payment methods do you accept?,retrieval
